taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	superfamily	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	modified	namePublishedIn	scientificNameID	verbatimTaxonRank	taxonRemarks	higherClassification
202423			Animalia												kingdom	valid	1999-10-27		202423			
914153		202423	Radiata		Animalia										subkingdom	valid	2013-11-04		914153			Animalia
48738		914153	Cnidaria Hatschek, 1888	Hatschek, 1888	Animalia										phylum	valid	2013-11-04		48738			Animalia|Radiata
914163		48738	Anthozoa		Animalia	Cnidaria									subphylum	valid	2013-11-04		914163			Animalia|Radiata|Cnidaria
51938		914163	Anthozoa Ehrenberg, 1834	Ehrenberg, 1834	Animalia	Cnidaria									class	valid	2013-11-04		51938			Animalia|Radiata|Cnidaria|Anthozoa
202506		52089	Titanideum obscurum Thomson, 1927	Thomson, 1927	Animalia	Cnidaria	Anthozoa	Alcyonacea		Anthothelidae	Titanideum		obscurum		species	valid	1996-06-24		202506			Animalia|Radiata|Cnidaria|Anthozoa|Anthozoa|Octocorallia|Alcyonacea|Scleraxonia|Anthothelidae|Titanideum
202507		52105	Subergorgia Gray, 1857	Gray, 1857	Animalia	Cnidaria	Anthozoa	Alcyonacea		Subergorgiidae					genus	valid	2007-03-13		202507			Animalia|Radiata|Cnidaria|Anthozoa|Anthozoa|Octocorallia|Alcyonacea|Scleraxonia|Subergorgiidae
202508		202507	Subergorgia suberosa (Pallas, 1766)	(Pallas, 1766)	Animalia	Cnidaria	Anthozoa	Alcyonacea		Subergorgiidae	Subergorgia		suberosa		species	valid	1996-06-24		202508			Animalia|Radiata|Cnidaria|Anthozoa|Anthozoa|Octocorallia|Alcyonacea|Scleraxonia|Subergorgiidae|Subergorgia
202509		52109	Corallium Cuvier, 1798	Cuvier, 1798	Animalia	Cnidaria	Anthozoa	Alcyonacea		Coralliidae					genus	valid	2007-03-13		202509			Animalia|Radiata|Cnidaria|Anthozoa|Anthozoa|Octocorallia|Alcyonacea|Scleraxonia|Coralliidae
202510		202509	Corallium johnsoni Gray, 1860	Gray, 1860	Animalia	Cnidaria	Anthozoa	Alcyonacea		Coralliidae	Corallium		johnsoni		species	valid	1996-06-24		202510			Animalia|Radiata|Cnidaria|Anthozoa|Anthozoa|Octocorallia|Alcyonacea|Scleraxonia|Coralliidae|Corallium
202511		202509	Corallium maderense (Johnson, 1899)	(Johnson, 1899)	Animalia	Cnidaria	Anthozoa	Alcyonacea		Coralliidae	Corallium		maderense		species	valid	1996-06-24		202511			Animalia|Radiata|Cnidaria|Anthozoa|Anthozoa|Octocorallia|Alcyonacea|Scleraxonia|Coralliidae|Corallium
202512		202509	Corallium niobe Bayer, 1964	Bayer, 1964	Animalia	Cnidaria	Anthozoa	Alcyonacea		Coralliidae	Corallium		niobe		species	valid	1996-06-24		202512			Animalia|Radiata|Cnidaria|Anthozoa|Anthozoa|Octocorallia|Alcyonacea|Scleraxonia|Coralliidae|Corallium
202513		202509	Corallium rubrum (Linnaeus, 1758)	(Linnaeus, 1758)	Animalia	Cnidaria	Anthozoa	Alcyonacea		Coralliidae	Corallium		rubrum		species	valid	1996-06-24		202513			Animalia|Radiata|Cnidaria|Anthozoa|Anthozoa|Octocorallia|Alcyonacea|Scleraxonia|Coralliidae|Corallium
202514		52110	Melithaea Milne Edwards and Haime, 1857	Milne Edwards and Haime, 1857	Animalia	Cnidaria	Anthozoa	Alcyonacea		Melithaeidae					genus	valid	2007-03-13		202514			Animalia|Radiata|Cnidaria|Anthozoa|Anthozoa|Octocorallia|Alcyonacea|Scleraxonia|Melithaeidae
202515		202514	Melithaea ochracea (Linnaeus, 1758)	(Linnaeus, 1758)	Animalia	Cnidaria	Anthozoa	Alcyonacea		Melithaeidae	Melithaea		ochracea		species	valid	1996-06-24		202515			Animalia|Radiata|Cnidaria|Anthozoa|Anthozoa|Octocorallia|Alcyonacea|Scleraxonia|Melithaeidae|Melithaea
202516		52110	Mopsella Gray, 1857	Gray, 1857	Animalia	Cnidaria	Anthozoa	Alcyonacea		Melithaeidae					genus	valid	2007-03-13		202516			Animalia|Radiata|Cnidaria|Anthozoa|Anthozoa|Octocorallia|Alcyonacea|Scleraxonia|Melithaeidae
202517		202516	Mopsella zimmeri Kuekenthal, 1908	Kuekenthal, 1908	Animalia	Cnidaria	Anthozoa	Alcyonacea		Melithaeidae	Mopsella		zimmeri		species	valid	1996-06-24		202517			Animalia|Radiata|Cnidaria|Anthozoa|Anthozoa|Octocorallia|Alcyonacea|Scleraxonia|Melithaeidae|Mopsella
202518	52119		Acanthogorgia verrilli Studer, 1901	Studer, 1901	Animalia	Cnidaria	Anthozoa	Alcyonacea		Acanthogorgiidae	Acanthogorgia		verrilli		species	heterotypicSynonym	1996-06-24		202518			Animalia|Radiata|Cnidaria|Anthozoa|Anthozoa|Octocorallia|Alcyonacea|Holaxonia|Acanthogorgiidae|Acanthogorgia
52120	52119		Acanthogorgia granulata Grasshoff, 1973	Grasshoff, 1973	Animalia	Cnidaria	Anthozoa	Alcyonacea		Acanthogorgiidae	Acanthogorgia		granulata		species	heterotypicSynonym	1996-06-24		52120			Animalia|Radiata|Cnidaria|Anthozoa|Anthozoa|Octocorallia|Alcyonacea|Holaxonia|Acanthogorgiidae|Acanthogorgia
202519	52119		Acanthogorgia muricata Verrill, 1883	Verrill, 1883	Animalia	Cnidaria	Anthozoa	Alcyonacea		Acanthogorgiidae	Acanthogorgia		muricata		species	heterotypicSynonym	1996-06-24		202519		NODC: Part	Animalia|Radiata|Cnidaria|Anthozoa|Anthozoa|Octocorallia|Alcyonacea|Holaxonia|Acanthogorgiidae|Acanthogorgia
202520		52117	Acanthogorgia hirsuta Gray, 1857	Gray, 1857	Animalia	Cnidaria	Anthozoa	Alcyonacea		Acanthogorgiidae	Acanthogorgia		hirsuta		species	valid	1996-06-24		202520			Animalia|Radiata|Cnidaria|Anthozoa|Anthozoa|Octocorallia|Alcyonacea|Holaxonia|Acanthogorgiidae|Acanthogorgia
