taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	superfamily	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	modified	namePublishedIn	scientificNameID	verbatimTaxonRank	taxonRemarks	higherClassification
202423			Animalia												kingdom	valid	1999-10-27		202423			
914154		202423	Bilateria		Animalia										subkingdom	valid	2017-06-28		914154			Animalia
914156		914154	Deuterostomia		Animalia										infrakingdom	valid	2013-11-04		914156			Animalia|Bilateria
158852		914156	Chordata		Animalia										phylum	valid	2013-11-04		158852			Animalia|Bilateria|Deuterostomia
331030		158852	Vertebrata		Animalia	Chordata									subphylum	valid	2013-11-04		331030			Animalia|Bilateria|Deuterostomia|Chordata
550210	331030		Caudiverbera Laurenti, 1768	Laurenti, 1768	Animalia	Chordata									genus	synonym	2009-09-01		550210		David Nicolson - ITIS Data Development Coordinator: Myers & Stothers (2006) assert that the type species of Caudiverbera Laurenti 1768 is mythical, 'belonging neither to the Amphibia nor Reptilia.' There appears to be nowhere particularly useful to attach this name in ITIS, other than Vertebrata. About all that can be said of it is that it is a quadriped	Animalia|Bilateria|Deuterostomia|Chordata
914177	331030		Craniata		Animalia	Chordata									subphylum	heterotypicSynonym	2013-11-04		914177			Animalia|Bilateria|Deuterostomia|Chordata
914179		331030	Gnathostomata		Animalia	Chordata									infraphylum	valid	2017-03-30		914179			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
159783	914179		Gnathostomata		Animalia	Chordata									superclass	synonym	2013-11-04		159783		David Nicolson - ITIS Data Development Coordinator: Ruggiero et al. (2013) treat the gnathostomes as a vertebrate infraphylum rather than as a superclass	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
161030	914179		Osteichthyes		Animalia	Chordata									superclass	synonym	2017-03-30		161030		David Nicolson - ITIS Data Development Coordinator: Superclass Osteichthyes was formerly used for classes Sarcopterygii and Actinopterygii. Those two are now elevated as superclasses, and Osteichthyes is not used in this classification (Ruggiero et al., 2015), although it is still used by some sources for the group containing Sarcopterygii & Actinopterygii, in contrast to the fossil group Acanthodii	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
161061		914179	Actinopterygii		Animalia	Chordata									superclass	valid	2021-05-25		161061			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata
553120	161061		Neopterygii		Animalia	Chordata									subclass	synonym	2017-03-30		553120		David Nicolson - ITIS Data Development Coordinator: Neopterygii is not supported by Ruggiero et al. (2015), with its former contents spread across several subgroups of the Actinopterygii	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata
161105		161061	Teleostei		Animalia	Chordata									class	valid	2021-05-25		161105			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii
166082		161105	Acanthopterygii		Animalia	Chordata	Teleostei								superorder	valid	2021-05-25		166082			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii|Teleostei
167640		166082	Perciformes		Animalia	Chordata	Teleostei								order	valid	2021-05-25		167640			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii|Teleostei|Acanthopterygii
166660	167640		Channiformes		Animalia	Chordata	Teleostei								order	synonym	2006-04-04		166660		David Nicolson - ITIS Data Development Coordinator: Nelson (1994, 2006) does not use the ordinal name Channiformes, but rather Suborder Channoidei (TSN 162835), placed within Order Perciformes (TSN 167640)	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii|Teleostei|Acanthopterygii
170476		167640	Labroidei		Animalia	Chordata	Teleostei	Perciformes							suborder	valid	2004-09-27		170476			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii|Teleostei|Acanthopterygii|Perciformes
170756	170476		Choerodon griseus Shiino, 1976	Shiino, 1976	Animalia	Chordata	Teleostei	Perciformes			Choerodon		griseus		species	synonym	2003-04-03		170756		David Nicolson - ITIS Data Development Coordinator: Despite extensive research, we were unable to determine the current status of this name. Shiino (1976), which was the source for this name coming into the NODC database (and thus into ITIS) listed 'Choerodon griseus (L.). Bridled tuskfish (Au)' as a valid species in the Labroidei, but despite extensive searches this name and author cannot be accounted for. We are therefore considering it a nomen nudum attributable to Shiino (1976), and leaving it linked to Labroidei	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii|Teleostei|Acanthopterygii|Perciformes
170768	170476		Julis pavo Shiino, 1976	Shiino, 1976	Animalia	Chordata	Teleostei	Perciformes			Julis		pavo		species	synonym	2003-04-03		170768		David Nicolson - ITIS Data Development Coordinator: Despite extensive research, we were unable to determine the current status of this name. Shiino (1976), which was the source for this name coming into the NODC database (and thus into ITIS) listed 'Julis pavo Hasslegar. Spotted pigfish (Au)' as a valid species in the Labroidei, but despite extensive searches this name and author cannot be accounted for. We are therefore considering it a nomen nudum attributable to Shiino (1976), and leaving it linked to Labroidei	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii|Teleostei|Acanthopterygii|Perciformes
170044		170476	Pomacentridae		Animalia	Chordata	Teleostei	Perciformes							family	valid	2002-12-02		170044			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii|Teleostei|Acanthopterygii|Perciformes|Labroidei
