taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	superfamily	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	modified	namePublishedIn	scientificNameID	verbatimTaxonRank	taxonRemarks	higherClassification
202423			Animalia												kingdom	valid	1999-10-27		202423			
914154		202423	Bilateria		Animalia										subkingdom	valid	2017-06-28		914154			Animalia
914155		914154	Protostomia		Animalia										infrakingdom	valid	2017-06-28		914155			Animalia|Bilateria
914159		914155	Lophozoa		Animalia										superphylum	valid	2017-06-28		914159			Animalia|Bilateria|Protostomia
69458		914159	Mollusca		Animalia										phylum	valid	2013-11-04		69458			Animalia|Bilateria|Protostomia|Lophozoa
82326		69458	Cephalopoda Cuvier, 1797	Cuvier, 1797	Animalia	Mollusca									class	valid	2013-11-04		82326			Animalia|Bilateria|Protostomia|Lophozoa|Mollusca
82330		82326	Coleoidea Bather, 1888	Bather, 1888	Animalia	Mollusca	Cephalopoda								subclass	valid	2013-11-04		82330			Animalia|Bilateria|Protostomia|Lophozoa|Mollusca|Cephalopoda
555706		82330	Decabrachia Boettger, 1952	Boettger, 1952	Animalia	Mollusca	Cephalopoda								superorder	valid	2013-11-04		555706			Animalia|Bilateria|Protostomia|Lophozoa|Mollusca|Cephalopoda|Coleoidea
82367		555706	Teuthida Naef, 1916	Naef, 1916	Animalia	Mollusca	Cephalopoda								order	valid	2013-11-04		82367			Animalia|Bilateria|Protostomia|Lophozoa|Mollusca|Cephalopoda|Coleoidea|Decabrachia
82390		82367	Oegopsina D'Orbigny, 1845	D'Orbigny, 1845	Animalia	Mollusca	Cephalopoda	Teuthida							suborder	valid	1999-06-02		82390			Animalia|Bilateria|Protostomia|Lophozoa|Mollusca|Cephalopoda|Coleoidea|Decabrachia|Teuthida
82544		82390	Thysanoteuthidae Keferstein, 1866	Keferstein, 1866	Animalia	Mollusca	Cephalopoda	Teuthida							family	valid	1999-06-02	Keferstein, W. / H. G. Bronn. 1866-01-01. Kopffusser: Cephalopoda Cuv. Die Klassen und Ordnungen des Thier-reiches: Weichthiere (Malacozoa). 1307-1464. Leipzig and Heidelberg, Germany.	82544		Michael J. Sweeney: Taxon Validity: [fide Roper et al. (1969)]	Animalia|Bilateria|Protostomia|Lophozoa|Mollusca|Cephalopoda|Coleoidea|Decabrachia|Teuthida|Oegopsina
82545		82544	Thysanoteuthis Troschel, 1857	Troschel, 1857	Animalia	Mollusca	Cephalopoda	Teuthida		Thysanoteuthidae					genus	valid	2000-07-21	Troschel, F. H. 1857-01-01. Bermerkungen uber die Cephalopoden von Messina. Archiv fur Naturgeschichte, 23 (1). 40-76.	82545		Michael J. Sweeney: Taxon Validity: [fide Roper et al. (1969)]. Type species: Thysanoteuthis rhombus Troschel, 1857 by original designation	Animalia|Bilateria|Protostomia|Lophozoa|Mollusca|Cephalopoda|Coleoidea|Decabrachia|Teuthida|Oegopsina|Thysanoteuthidae
555938	82545		Cirrobrachium Hoyle, 1904	Hoyle, 1904	Animalia	Mollusca	Cephalopoda	Teuthida		Thysanoteuthidae	Thysanoteuthis				genus	heterotypicSynonym	2000-07-21	Hoyle, W. E. 1904-01-01. Reports on the Cephalopoda. Bulletin of the Museum of Comparative Zoology at Harvard College, in Cambridge, 43 (1). 1-72. Year 1904b. 12 plates.	555938		Michael J. Sweeney: Taxon Validity: [fide Nesis (1987a:237)]. Type species: Cirrobrachium filiferum Hoyle, 1904 by monotypy	Animalia|Bilateria|Protostomia|Lophozoa|Mollusca|Cephalopoda|Coleoidea|Decabrachia|Teuthida|Oegopsina|Thysanoteuthidae
82546		82545	Thysanoteuthis rhombus Troschel, 1857	Troschel, 1857	Animalia	Mollusca	Cephalopoda	Teuthida		Thysanoteuthidae	Thysanoteuthis		rhombus		species	valid	2000-07-21	Troschel, F. H. 1857-01-01. Bermerkungen uber die Cephalopoden von Messina. Archiv fur Naturgeschichte, 23 (1). 40-76.	82546		Michael J. Sweeney: Taxon Validity: [fide Okutani et al. (1978:149)]. Repository: Type repository undetermined. Type Locality: Messina, Sicily	Animalia|Bilateria|Protostomia|Lophozoa|Mollusca|Cephalopoda|Coleoidea|Decabrachia|Teuthida|Oegopsina|Thysanoteuthidae|Thysanoteuthis
556846	82546		Thysanoteuthis elegans Troschel, 1857	Troschel, 1857	Animalia	Mollusca	Cephalopoda	Teuthida		Thysanoteuthidae	Thysanoteuthis		elegans		species	heterotypicSynonym	2000-07-21	Troschel, F. H. 1857-01-01. Bermerkungen uber die Cephalopoden von Messina. Archiv fur Naturgeschichte, 23 (1). 40-76.	556846		Michael J. Sweeney: Taxon Validity: [fide Sasaki (1929:301)]. Repository: Type repository undetermined . Type Locality: Messina, Sicily	Animalia|Bilateria|Protostomia|Lophozoa|Mollusca|Cephalopoda|Coleoidea|Decabrachia|Teuthida|Oegopsina|Thysanoteuthidae|Thysanoteuthis
