taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	superfamily	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	modified	namePublishedIn	scientificNameID	verbatimTaxonRank	taxonRemarks	higherClassification
202423			Animalia												kingdom	valid	1999-10-27		202423			
914154		202423	Bilateria		Animalia										subkingdom	valid	2017-06-28		914154			Animalia
914156		914154	Deuterostomia		Animalia										infrakingdom	valid	2013-11-04		914156			Animalia|Bilateria
158852		914156	Chordata		Animalia										phylum	valid	2013-11-04		158852			Animalia|Bilateria|Deuterostomia
331030		158852	Vertebrata		Animalia	Chordata									subphylum	valid	2013-11-04		331030			Animalia|Bilateria|Deuterostomia|Chordata
550210	331030		Caudiverbera Laurenti, 1768	Laurenti, 1768	Animalia	Chordata									genus	synonym	2009-09-01		550210		David Nicolson - ITIS Data Development Coordinator: Myers & Stothers (2006) assert that the type species of Caudiverbera Laurenti 1768 is mythical, 'belonging neither to the Amphibia nor Reptilia.' There appears to be nowhere particularly useful to attach this name in ITIS, other than Vertebrata. About all that can be said of it is that it is a quadriped	Animalia|Bilateria|Deuterostomia|Chordata
914177	331030		Craniata		Animalia	Chordata									subphylum	heterotypicSynonym	2013-11-04		914177			Animalia|Bilateria|Deuterostomia|Chordata
914179		331030	Gnathostomata		Animalia	Chordata									infraphylum	valid	2017-03-30		914179			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
159783	914179		Gnathostomata		Animalia	Chordata									superclass	synonym	2013-11-04		159783		David Nicolson - ITIS Data Development Coordinator: Ruggiero et al. (2013) treat the gnathostomes as a vertebrate infraphylum rather than as a superclass	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
161030	914179		Osteichthyes		Animalia	Chordata									superclass	synonym	2017-03-30		161030		David Nicolson - ITIS Data Development Coordinator: Superclass Osteichthyes was formerly used for classes Sarcopterygii and Actinopterygii. Those two are now elevated as superclasses, and Osteichthyes is not used in this classification (Ruggiero et al., 2015), although it is still used by some sources for the group containing Sarcopterygii & Actinopterygii, in contrast to the fossil group Acanthodii	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
161061		914179	Actinopterygii		Animalia	Chordata									superclass	valid	2021-05-25		161061			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata
553120	161061		Neopterygii		Animalia	Chordata									subclass	synonym	2017-03-30		553120		David Nicolson - ITIS Data Development Coordinator: Neopterygii is not supported by Ruggiero et al. (2015), with its former contents spread across several subgroups of the Actinopterygii	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata
161105		161061	Teleostei		Animalia	Chordata									class	valid	2021-05-25		161105			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii
161106		161105	Elopomorpha		Animalia	Chordata	Teleostei								superorder	valid	2005-05-03		161106			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii|Teleostei
161123		161106	Anguilliformes		Animalia	Chordata	Teleostei								order	valid	2013-08-14		161123			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii|Teleostei|Elopomorpha
635295	161123		Apodes		Animalia	Chordata	Teleostei								order	heterotypicSynonym	2004-08-25		635295			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii|Teleostei|Elopomorpha
161124		161123	Anguilloidei		Animalia	Chordata	Teleostei	Anguilliformes							suborder	valid	2005-05-03		161124			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii|Teleostei|Elopomorpha|Anguilliformes
161125		161124	Anguillidae		Animalia	Chordata	Teleostei	Anguilliformes							family	valid	2005-05-03		161125			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii|Teleostei|Elopomorpha|Anguilliformes|Anguilloidei
161126		161125	Anguilla Schrank, 1798	Schrank, 1798	Animalia	Chordata	Teleostei	Anguilliformes		Anguillidae					genus	valid	2004-08-25		161126			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii|Teleostei|Elopomorpha|Anguilliformes|Anguilloidei|Anguillidae
161128		161126	Anguilla anguilla (Linnaeus, 1758)	(Linnaeus, 1758)	Animalia	Chordata	Teleostei	Anguilliformes		Anguillidae	Anguilla		anguilla		species	valid	2005-05-03		161128			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii|Teleostei|Elopomorpha|Anguilliformes|Anguilloidei|Anguillidae|Anguilla
161129	161128		Anguilla vulgaris Shaw, 1803	Shaw, 1803	Animalia	Chordata	Teleostei	Anguilliformes		Anguillidae	Anguilla		vulgaris		species	heterotypicSynonym	2004-08-25		161129			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii|Teleostei|Elopomorpha|Anguilliformes|Anguilloidei|Anguillidae|Anguilla
