taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	superfamily	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	modified	namePublishedIn	scientificNameID	verbatimTaxonRank	taxonRemarks	higherClassification
202423			Animalia												kingdom	valid	1999-10-27		202423			
914154		202423	Bilateria		Animalia										subkingdom	valid	2017-06-28		914154			Animalia
914156		914154	Deuterostomia		Animalia										infrakingdom	valid	2013-11-04		914156			Animalia|Bilateria
158852		914156	Chordata		Animalia										phylum	valid	2013-11-04		158852			Animalia|Bilateria|Deuterostomia
331030		158852	Vertebrata		Animalia	Chordata									subphylum	valid	2013-11-04		331030			Animalia|Bilateria|Deuterostomia|Chordata
550210	331030		Caudiverbera Laurenti, 1768	Laurenti, 1768	Animalia	Chordata									genus	synonym	2009-09-01		550210		David Nicolson - ITIS Data Development Coordinator: Myers & Stothers (2006) assert that the type species of Caudiverbera Laurenti 1768 is mythical, 'belonging neither to the Amphibia nor Reptilia.' There appears to be nowhere particularly useful to attach this name in ITIS, other than Vertebrata. About all that can be said of it is that it is a quadriped	Animalia|Bilateria|Deuterostomia|Chordata
914177	331030		Craniata		Animalia	Chordata									subphylum	heterotypicSynonym	2013-11-04		914177			Animalia|Bilateria|Deuterostomia|Chordata
914179		331030	Gnathostomata		Animalia	Chordata									infraphylum	valid	2017-03-30		914179			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
159783	914179		Gnathostomata		Animalia	Chordata									superclass	synonym	2013-11-04		159783		David Nicolson - ITIS Data Development Coordinator: Ruggiero et al. (2013) treat the gnathostomes as a vertebrate infraphylum rather than as a superclass	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
161030	914179		Osteichthyes		Animalia	Chordata									superclass	synonym	2017-03-30		161030		David Nicolson - ITIS Data Development Coordinator: Superclass Osteichthyes was formerly used for classes Sarcopterygii and Actinopterygii. Those two are now elevated as superclasses, and Osteichthyes is not used in this classification (Ruggiero et al., 2015), although it is still used by some sources for the group containing Sarcopterygii & Actinopterygii, in contrast to the fossil group Acanthodii	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
914181		914179	Tetrapoda		Animalia	Chordata									superclass	valid	2013-11-04		914181			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata
174371		914181	Aves		Animalia	Chordata									class	valid	2013-11-04		174371			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda
178265		174371	Passeriformes		Animalia	Chordata	Aves								order	valid	2015-10-28		178265			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves
178266	178265		Eurylami		Animalia	Chordata	Aves								suborder	synonym	2013-11-04		178266		David Nicolson - ITIS Data Development Coordinator: At present ITIS is not utilizing suborders within Aves	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves
178268	178265		Tyranni		Animalia	Chordata	Aves								suborder	synonym	2013-11-04		178268		David Nicolson - ITIS Data Development Coordinator: At present ITIS is not utilizing suborders within Aves	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves
178392	178265		Menurae		Animalia	Chordata	Aves								suborder	synonym	2013-11-04		178392		David Nicolson - ITIS Data Development Coordinator: At present ITIS is not utilizing suborders within Aves	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves
178395	178265		Oscines		Animalia	Chordata	Aves								suborder	synonym	2013-11-04		178395		Amanda Treher, NatureServe: At present ITIS is not utilizing suborders within Aves	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves
179030		178265	Icteridae		Animalia	Chordata	Aves	Passeriformes							family	valid	2007-10-11		179030			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves|Passeriformes
179111		179030	Molothrus Swainson, 1832	Swainson, 1832	Animalia	Chordata	Aves	Passeriformes		Icteridae					genus	valid	2007-10-11		179111			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves|Passeriformes|Icteridae
179118	179111		Tangavius Lesson, 1839	Lesson, 1839	Animalia	Chordata	Aves	Passeriformes		Icteridae	Molothrus				genus	heterotypicSynonym	2007-10-11		179118			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves|Passeriformes|Icteridae
558202	179111		Scaphidura Swainson, 1837	Swainson, 1837	Animalia	Chordata	Aves	Passeriformes		Icteridae	Molothrus				genus	heterotypicSynonym	2007-10-11		558202			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves|Passeriformes|Icteridae
729212		179111	Molothrus oryzivorus (Gmelin, 1788)	(Gmelin, 1788)	Animalia	Chordata	Aves	Passeriformes		Icteridae	Molothrus		oryzivorus		species	valid	2007-10-11		729212			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves|Passeriformes|Icteridae|Molothrus
562840	729212		Scaphidura oryzivora (Gmelin, 1788)	(Gmelin, 1788)	Animalia	Chordata	Aves	Passeriformes		Icteridae	Scaphidura		oryzivora		species	homotypicSynonym	2007-10-11		562840			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves|Passeriformes|Icteridae|Molothrus
