taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	superfamily	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	modified	namePublishedIn	scientificNameID	verbatimTaxonRank	taxonRemarks	higherClassification
202423			Animalia												kingdom	valid	1999-10-27		202423			
914154		202423	Bilateria		Animalia										subkingdom	valid	2017-06-28		914154			Animalia
914156		914154	Deuterostomia		Animalia										infrakingdom	valid	2013-11-04		914156			Animalia|Bilateria
158852		914156	Chordata		Animalia										phylum	valid	2013-11-04		158852			Animalia|Bilateria|Deuterostomia
331030		158852	Vertebrata		Animalia	Chordata									subphylum	valid	2013-11-04		331030			Animalia|Bilateria|Deuterostomia|Chordata
550210	331030		Caudiverbera Laurenti, 1768	Laurenti, 1768	Animalia	Chordata									genus	synonym	2009-09-01		550210		David Nicolson - ITIS Data Development Coordinator: Myers & Stothers (2006) assert that the type species of Caudiverbera Laurenti 1768 is mythical, 'belonging neither to the Amphibia nor Reptilia.' There appears to be nowhere particularly useful to attach this name in ITIS, other than Vertebrata. About all that can be said of it is that it is a quadriped	Animalia|Bilateria|Deuterostomia|Chordata
914177	331030		Craniata		Animalia	Chordata									subphylum	heterotypicSynonym	2013-11-04		914177			Animalia|Bilateria|Deuterostomia|Chordata
914179		331030	Gnathostomata		Animalia	Chordata									infraphylum	valid	2017-03-30		914179			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
159783	914179		Gnathostomata		Animalia	Chordata									superclass	synonym	2013-11-04		159783		David Nicolson - ITIS Data Development Coordinator: Ruggiero et al. (2013) treat the gnathostomes as a vertebrate infraphylum rather than as a superclass	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
161030	914179		Osteichthyes		Animalia	Chordata									superclass	synonym	2017-03-30		161030		David Nicolson - ITIS Data Development Coordinator: Superclass Osteichthyes was formerly used for classes Sarcopterygii and Actinopterygii. Those two are now elevated as superclasses, and Osteichthyes is not used in this classification (Ruggiero et al., 2015), although it is still used by some sources for the group containing Sarcopterygii & Actinopterygii, in contrast to the fossil group Acanthodii	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
914181		914179	Tetrapoda		Animalia	Chordata									superclass	valid	2013-11-04		914181			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata
174371		914181	Aves		Animalia	Chordata									class	valid	2013-11-04		174371			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda
177993		174371	Apodiformes		Animalia	Chordata	Aves								order	valid	2021-06-28		177993			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves
177994	177993		Apodi		Animalia	Chordata	Aves								suborder	synonym	2021-06-28		177994		Payal Dharia - ITIS Data Development Technician: While some still consider this name to be valid, ITIS is not presently utilizing suborders within Aves	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves
178027	177993		Trochili		Animalia	Chordata	Aves								suborder	synonym	2021-06-28		178027		David Nicolson - ITIS Data Development Coordinator: At present ITIS is not utilizing suborders within Aves	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves
553437	177993		Trochiliformes		Animalia	Chordata	Aves								order	heterotypicSynonym	2021-06-28		553437			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves
178028		177993	Trochilidae		Animalia	Chordata	Aves	Apodiformes							family	valid	2021-06-28		178028			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves|Apodiformes
693121		178028	Trochilinae		Animalia	Chordata	Aves	Apodiformes		Trochilidae					subfamily	valid	2021-06-28		693121			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves|Apodiformes|Trochilidae
693124		693121	Basilinna F. Boie, 1831	F. Boie, 1831	Animalia	Chordata	Aves	Apodiformes		Trochilidae					genus	valid	2021-06-28		693124			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves|Apodiformes|Trochilidae|Trochilinae
693164		693124	Basilinna xantusii (Lawrence, 1861)	(Lawrence, 1861)	Animalia	Chordata	Aves	Apodiformes		Trochilidae	Basilinna		xantusii		species	valid	2021-06-28		693164		S.N. Alexander, ITIS Data Development Specialist: Incidental to Pacific United States and Canadian Provinces	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves|Apodiformes|Trochilidae|Trochilinae|Basilinna
178068	693164		Hylocharis xantusii (Lawrence, 1861)	(Lawrence, 1861)	Animalia	Chordata	Aves	Apodiformes		Trochilidae	Hylocharis		xantusii		species	homotypicSynonym	2021-06-28		178068			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves|Apodiformes|Trochilidae|Trochilinae|Basilinna
1149730	693164		Amazilia xantusii Lawrence, 1861	Lawrence, 1861	Animalia	Chordata	Aves	Apodiformes		Trochilidae	Amazilia		xantusii		species	homotypicSynonym	2021-06-28		1149730			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Aves|Apodiformes|Trochilidae|Trochilinae|Basilinna
