,taxonID,acceptedNameUsageID,parentNameUsageID,scientificName,scientificNameAuthorship,kingdom,phylum,class,order,superfamily,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,taxonomicStatus,modified,namePublishedIn,scientificNameID,verbatimTaxonRank,taxonRemarks,higherClassification
0,202423,,,Animalia,,,,,,,,,,,,kingdom,valid,1999-10-27,,202423,,,
1,914154,,202423.0,Bilateria,,Animalia,,,,,,,,,,subkingdom,valid,2017-06-28,,914154,,,Animalia
2,914156,,914154.0,Deuterostomia,,Animalia,,,,,,,,,,infrakingdom,valid,2013-11-04,,914156,,,Animalia|Bilateria
3,158852,,914156.0,Chordata,,Animalia,,,,,,,,,,phylum,valid,2013-11-04,,158852,,,Animalia|Bilateria|Deuterostomia
4,331030,,158852.0,Vertebrata,,Animalia,Chordata,,,,,,,,,subphylum,valid,2013-11-04,,331030,,,Animalia|Bilateria|Deuterostomia|Chordata
7,914179,,331030.0,Gnathostomata,,Animalia,Chordata,,,,,,,,,infraphylum,valid,2017-03-30,,914179,,,Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
10,914181,,914179.0,Tetrapoda,,Animalia,Chordata,,,,,,,,,superclass,valid,2013-11-04,,914181,,,Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata
11,173747,,914181.0,Reptilia,"Laurenti, 1768",Animalia,Chordata,,,,,,,,,class,valid,2020-07-26,,173747,,,Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda
16,551734,,173747.0,Crocodilia,,Animalia,Chordata,Reptilia,,,,,,,,order,valid,2021-12-19,,551734,,,Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Reptilia
18,174365,,551734.0,Alligatoridae,,Animalia,Chordata,Reptilia,Crocodilia,,,,,,,family,valid,2021-12-19,,174365,,,Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Reptilia|Crocodilia
19,174366,,174365.0,Alligator,"Cuvier, 1807",Animalia,Chordata,Reptilia,Crocodilia,,Alligatoridae,,,,,genus,valid,2021-12-19,,174366,,,Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Reptilia|Crocodilia|Alligatoridae
20,202209,,174366.0,Alligator sinensis,"Fauvel, 1879",Animalia,Chordata,Reptilia,Crocodilia,,Alligatoridae,Alligator,,sinensis,,species,valid,2021-12-19,,202209,,"David F. Mitchell, ITIS Data Development Specialist: CITES: Appendix I adopted at the 15th meeting of the Conference of the Parties (Doha, 2010).David F. Mitchell, ITIS Data Development Specialist: US ESA: Listed Endangered, as published in Federal Register Volume 41, Number 115, Pages 21062 - 24067, June 14, 1976",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Reptilia|Crocodilia|Alligatoridae|Alligator
