taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	superfamily	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	modified	namePublishedIn	scientificNameID	verbatimTaxonRank	taxonRemarks	higherClassification
202423			Animalia												kingdom	valid	1999-10-27		202423			
914154		202423	Bilateria		Animalia										subkingdom	valid	2017-06-28		914154			Animalia
914156		914154	Deuterostomia		Animalia										infrakingdom	valid	2013-11-04		914156			Animalia|Bilateria
158852		914156	Chordata		Animalia										phylum	valid	2013-11-04		158852			Animalia|Bilateria|Deuterostomia
331030		158852	Vertebrata		Animalia	Chordata									subphylum	valid	2013-11-04		331030			Animalia|Bilateria|Deuterostomia|Chordata
550210	331030		Caudiverbera Laurenti, 1768	Laurenti, 1768	Animalia	Chordata									genus	synonym	2009-09-01		550210		David Nicolson - ITIS Data Development Coordinator: Myers & Stothers (2006) assert that the type species of Caudiverbera Laurenti 1768 is mythical, 'belonging neither to the Amphibia nor Reptilia.' There appears to be nowhere particularly useful to attach this name in ITIS, other than Vertebrata. About all that can be said of it is that it is a quadriped	Animalia|Bilateria|Deuterostomia|Chordata
914177	331030		Craniata		Animalia	Chordata									subphylum	heterotypicSynonym	2013-11-04		914177			Animalia|Bilateria|Deuterostomia|Chordata
914179		331030	Gnathostomata		Animalia	Chordata									infraphylum	valid	2017-03-30		914179			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
159783	914179		Gnathostomata		Animalia	Chordata									superclass	synonym	2013-11-04		159783		David Nicolson - ITIS Data Development Coordinator: Ruggiero et al. (2013) treat the gnathostomes as a vertebrate infraphylum rather than as a superclass	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
161030	914179		Osteichthyes		Animalia	Chordata									superclass	synonym	2017-03-30		161030		David Nicolson - ITIS Data Development Coordinator: Superclass Osteichthyes was formerly used for classes Sarcopterygii and Actinopterygii. Those two are now elevated as superclasses, and Osteichthyes is not used in this classification (Ruggiero et al., 2015), although it is still used by some sources for the group containing Sarcopterygii & Actinopterygii, in contrast to the fossil group Acanthodii	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
914181		914179	Tetrapoda		Animalia	Chordata									superclass	valid	2013-11-04		914181			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata
179913		914181	Mammalia Linnaeus, 1758	Linnaeus, 1758	Animalia	Chordata									class	valid	2014-12-22		179913			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda
179914		179913	Prototheria Gill, 1872	Gill, 1872	Animalia	Chordata	Mammalia								subclass	valid	2013-11-04		179914			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia
179915		179914	Monotremata Bonaparte, 1837	Bonaparte, 1837	Animalia	Chordata	Mammalia								order	valid	2013-11-04		179915		Wilson & Reeder, eds. (2005): Comments: Reviewed by Griffiths (1978). The order is the sole extant representative of the Subclass Prototheria (all other living mammals belong to subclass Theria). McKenna and Bell (1997) divided the order into two (Platypoda and Tachyglossa); the date of divergence of the two living families is unknown, and conservatively they are retained here in a single order	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Prototheria
552309		179915	Ornithorhynchidae Gray, 1825	Gray, 1825	Animalia	Chordata	Mammalia	Monotremata							family	valid	2006-11-28		552309			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Prototheria|Monotremata
552383		552309	Ornithorhynchus Blumenbach, 1800	Blumenbach, 1800	Animalia	Chordata	Mammalia	Monotremata		Ornithorhynchidae					genus	valid	2006-11-28		552383		Wilson & Reeder, eds. (2005): Comments: Platypus Shaw, 1799 was preoccupied by Platypus Herbst, 1793, a genus of Coleoptera. Ornithorynchus is the next available name	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Prototheria|Monotremata|Ornithorhynchidae
609808	552383		Platypus Shaw, 1799	Shaw, 1799	Animalia	Chordata	Mammalia	Monotremata		Ornithorhynchidae	Ornithorhynchus				genus	heterotypicSynonym	2006-11-28		609808		David Nicolson - ITIS Data Development Coordinator: Apparently a junior homonym of the beetle genus Platypus Herbst, 1793 (TSN 114893).Wilson & Reeder, eds. (2005): Comments: [not of Herbst, 1793]	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Prototheria|Monotremata|Ornithorhynchidae
552524		552383	Ornithorhynchus anatinus (Shaw, 1799)	(Shaw, 1799)	Animalia	Chordata	Mammalia	Monotremata		Ornithorhynchidae	Ornithorhynchus		anatinus		species	valid	2006-11-28		552524		Wilson & Reeder, eds. (2005): Status: IUCN - Lower Risk (lc); common but vulnerable to local extinction.Wilson & Reeder, eds. (2005): Comments: Whether there are any valid subspecies is unclear; revision is needed. Species name is commonly attributed to Shaw and Nodder, but Nodder was the publisher, not an author	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Prototheria|Monotremata|Ornithorhynchidae|Ornithorhynchus
